"","Title","News_Link","Date","Status","Status_Frequency"
"151","“‘台独’航母”的噩梦_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674044.htm",2020-11-10,"Independence Advocates",7
"152","陈水扁已走到“台独”分裂的危险边缘_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674243.htm",2020-11-10,"Independence Advocates",7
"153","国际社会没有“台独”和分裂的空间_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674188.htm",2020-11-10,"Independence Advocates",7
"154","人民日报评扁讲话:“善意”幌子下的台独本质_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674268.htm",2020-11-10,"Independence Advocates",7
"155","国台办:陈水扁鼓动“台独”公投荒谬可笑_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wyly/201809/t20180912_12058919.htm",2018-09-12,"Independence Advocates",3
"156","...国台办:绝不允许“台独”破坏两岸关系_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wyly/201404/t20140404_5965800.htm",2014-04-03,"Independence Advocates",1
"157","制止“台独”分裂活动是维护台海和平稳定的关键_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674256.htm",2011-01-04,"Independence Advocates",8
"158","国台办副主任叶克冬吁全球华侨华人共遏“台独”_中共中央台湾工作...","http://www.gwytb.gov.cn/newsb/201101/t20110124_1729577.htm",2007-11-21,"Independence Advocates",1
"159","国台办:坚决反对“台独”的立场一贯、明确_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wyly/201405/t20140528_6229563.htm",2014-05-28,"Independence Advocates",1
"160","“去蒋化”包藏“台独”祸心_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674419.htm",2020-11-09,"Independence Advocates",5
"161","国台办:李登辉新书鼓吹“台独”、卖国,与两岸同胞和中华民族为敌...","http://www.gwytb.gov.cn/wyly/201602/t20160224_11394357.htm",2016-02-24,"Independence Advocates",1
"162","新华社评论员:中国人民决不容忍“台独”分裂_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674250.htm",2011-01-04,"Independence Advocates",8
"163","国台办:大陆不可能接受民进党不放弃“台独”的模糊概念_中共中央...","http://www.gwytb.gov.cn/wyly/201311/t20131127_5273839.htm",2013-11-27,"Independence Advocates",2
"164","国台办:“台独”分子否定《开罗宣言》是徒劳的_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201311/t20131127_5273830.htm",2013-11-27,"Independence Advocates",2
"165","“台独”是两岸关系紧张的根源_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674192.htm",2011-01-04,"Independence Advocates",8
"166","渐进“台独”的学问_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/forum/201101/t20110104_1673872.htm",2020-11-09,"Independence Advocates",5
"167","国台办:决不允许少数人在大陆赚钱却支持“台独”_中共中央台湾...","http://www.gwytb.gov.cn/wyly/201612/t20161214_11653353.htm",2016-12-14,"Independence Advocates",2
"168","解放军报:美不要向“台独”势力发出错误信号_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674260.htm",2011-01-04,"Independence Advocates",8
"169","胡锦涛主席会见美国国务卿赖斯 望美遵守反对“台独”承诺_中共...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723792.htm",2005-03-20,"Independence Advocates",1
"170","国台办:希望民进党顺应民意改变“台独”主张_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201305/t20130529_4258753.htm",2013-05-29,"Independence Advocates",1
"171","国台办:决不允许少数人一面在大陆赚钱另一面却支持“台独”","http://www.gwytb.gov.cn/wyly/201512/t20151230_11344655.htm",2015-12-30,"Independence Advocates",1
"172","西班牙侨界坚决反对“入联公投”、反对“台独”_中共中央台湾工作...","http://www.gwytb.gov.cn/gatsw/fdct/201101/t20110111_1691231.htm",2020-11-09,"Independence Advocates",5
"173","《瞭望》文章:“台独”势力操作族群斗争骗取选票_中共中央台湾...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674326.htm",2020-11-09,"Independence Advocates",5
"174","张志军:继续坚持“九二共识”,坚决反对、遏制“台独”分裂行径...","http://www.gwytb.gov.cn/wyly/201703/t20170306_11715449.htm",2017-03-06,"Independence Advocates",1
"175","国台办:蔡英文再次暴露顽固“台独”立场_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/newsb/201205/t20120516_2639578.htm",2012-05-16,"Independence Advocates",1
"176","两种“台独”的异和同_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674158.htm",2020-11-09,"Independence Advocates",5
"177","国台办:民进党及其当局只有放弃“台独”立场、认同“九二共识...","http://www.gwytb.gov.cn/wyly/201811/t20181128_12117392.htm",2018-11-28,"Independence Advocates",1
"178","国台办:民进党当局和“台独”势力倒行逆施,自然会感受到来自两岸...","http://www.gwytb.gov.cn/wyly/201904/t20190410_12155384.htm",2019-04-10,"Independence Advocates",2
"179","新华时评:震慑“台独”分裂、促进祖国和平统一的法制利剑——写在...","http://www.gwytb.gov.cn/wyly/202005/t20200529_12278496.htm",2020-05-29,"Independence Advocates",3
"180","国台办评赖清德窜访美国:借机搞“台独”的卑鄙伎俩遭人唾弃_中共...","http://www.gwytb.gov.cn/wyly/202002/t20200206_12239468.htm",2020-02-06,"Independence Advocates",1
"181","2007:反对“台独”的关键一年_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674405.htm",2020-11-02,"Independence Advocates",1
"182","“台独”和陈水扁的反复无信是台海和平火药桶_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674253.htm",2011-01-04,"Independence Advocates",8
"183","国台办:坚决反对任何形式“台独”挑衅行径_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wyly/201810/t20181031_12107902.htm",2018-10-31,"Independence Advocates",2
"184","反对“台独”,共议统一——辛巳新年寄语台湾同胞_中共中央台湾...","http://www.gwytb.gov.cn/speech/hxfzrjh/201101/t20110123_1725882.htm",2020-11-01,"Independence Advocates",1
"185","叶克冬访温哥华呼吁海外侨胞共同遏制“台独”_中共中央台湾工作...","http://www.gwytb.gov.cn/gtb/yekedong/speech/201101/t20110123_1723017.htm",2007-11-15,"Independence Advocates",1
"186","胡锦涛会见美国总统布什 美重申反对“台独”_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723724.htm",2003-10-20,"Independence Advocates",1
"187","国台办:民进党只有放弃“台独”立场 才能在两岸关系上找到出路...","http://www.gwytb.gov.cn/wyly/201709/t20170927_11847607.htm",2017-09-27,"Independence Advocates",2
"188","台湾当局粗暴拒绝大陆捐赠 搞“台独”不顾台胞生命_中共中央台湾...","http://www.gwytb.gov.cn/speech/hxfzrjh/201101/t20110123_1725887.htm",2003-05-26,"Independence Advocates",1
"189","中国国防报文章:制造“台独”事变将予坚决粉碎_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674272.htm",2011-01-04,"Independence Advocates",8
"190","曹刚川会见安倍晋三 望日方反对任何“台独”言行_中共中央台湾...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723898.htm",2007-08-31,"Independence Advocates",1
"191","国台办:“台独”是绝路,挟洋自重必将自食恶果_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201905/t20190528_12168932.htm",2019-05-28,"Independence Advocates",1
"192","国台办:民进党当局推进“台独”严重破坏赴台个人游试点的基础和...","http://www.gwytb.gov.cn/wyly/201908/t20190801_12189164.htm",2019-08-01,"Independence Advocates",1
"193","李克强:不能容忍任何“台独”的企图、主张和行径_中共中央台湾...","http://www.gwytb.gov.cn/wyly/201803/t20180320_11935206.htm",2018-03-20,"Independence Advocates",3
"194","国台办:搞对抗没有出路,谋“台独”更是绝路_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wyly/201910/t20191011_12208755.htm",2019-10-11,"Independence Advocates",1
"195","国台办:赖清德顽固坚持“台独”立场十分危险且自不量力_中共中央...","http://www.gwytb.gov.cn/wyly/201804/t20180402_11939293.htm",2018-04-02,"Independence Advocates",1
"196","国台办:民进党只有改变“台独”立场才有可能与大陆改善关系_中共...","http://www.gwytb.gov.cn/wyly/201706/t20170614_11801039.htm",2017-06-14,"Independence Advocates",2
