"","X","Title","News_Link","Date","Status","Status_Frequency","Daily_Total_Frequency","Year","Month","Day"
"218",218,"严隽琪强调切实保障台胞投资合法权益_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1724025.htm","2010-01-18","Compatriots",1,1,2010,1,18
"219",219,"湖北省台办:在鄂台胞要求台湾方面让他们尽快回家_中共中央台湾...","http://www.gwytb.gov.cn/wyly/202002/t20200212_12242401.htm","2020-02-12","Compatriots",3,3,2020,2,12
"220",220,"住建部、国台办赴扬州调研台胞住房公积金缴存情况_中共中央台湾...","http://www.gwytb.gov.cn/service/201708/t20170811_11829731.htm","2017-08-11","Compatriots",1,1,2017,8,11
"221",221,"淮安市召开台胞投资权益保障协调委员会联络员会议_中共中央台湾...","http://www.gwytb.gov.cn/fuwu/201410/t20141011_7609602.htm","2014-10-11","Compatriots",1,1,2014,10,11
"222",222,"杭州市成立台商(台胞)法律服务团_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/201605/t20160531_11471181.htm","2020-11-22","Compatriots",2,2,2020,11,22
"223",223,"两岸航空推出台胞春节返台团体优惠票(图)_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/lajm/lajmdt/201110/t20111014_2106999.htm","2011-10-14","Compatriots",1,1,2011,10,14
"224",224,"宁波惠台80条聚焦台胞台企“最关心”的问题_中共中央台湾工作办公...","http://www.gwytb.gov.cn/jj/zxzx_43783/201807/t20180713_12035350.htm","2018-07-12","Compatriots",1,1,2018,7,12
"225",225,"钦州市召开台商台胞台属迎春座谈会_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/local/201701/t20170111_11676083.htm","2017-01-09","Compatriots",1,1,2017,1,9
"226",226,"台胞到仪征创业可享受多种政策扶持_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201608/t20160818_11541756.htm","2020-11-20","Compatriots",3,5,2020,11,20
"227",227,"湖北首次授予台胞“湖北省劳动模范”称号_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jy/zxzx/201805/t20180523_11957988.htm","2018-05-23","Compatriots",1,1,2018,5,23
"228",228,"河北省签发首张“一次性台胞证”_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/jl/zxzx_43777/201808/t20180820_12049584.htm","2018-08-14","Compatriots",2,2,2018,8,14
"229",229,"“66条”出台近一个月 “台企台胞同等待遇”在闽加速落实_中共...","http://www.gwytb.gov.cn/jj/zxzx_43783/201807/t20180706_11972401.htm","2018-07-04","Compatriots",2,2,2018,7,4
"230",230,"福建漳州全面启动“台商台胞服务年”活动_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jy/zxzx/201804/t20180424_11948017.htm","2018-04-24","Compatriots",1,1,2018,4,24
"231",231,"热忱服务助台胞 跨海电话致谢意_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/201306/t20130624_4362064.htm","2020-11-20","Compatriots",3,5,2020,11,20
"232",232,"沈阳市台办助台胞圆70年寻亲梦_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/gxtbsh/201802/t20180212_11924665.htm","2020-11-20","Compatriots",3,5,2020,11,20
"233",233,"东莞台心医院启用 可为10万台胞提供服务_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jy_43772/zxzx_43774/201412/t20141216_8382769.htm","2014-06-26","Compatriots",1,1,2014,6,26
"234",234,"台胞证过期后处理办法_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/zn/crj/201211/t20121119_3378810.htm","2020-11-19","Compatriots",6,6,2020,11,19
"235",235,"在川台胞申领居住证:将方便在大陆生活的方方面面_中共中央台湾...","http://www.gwytb.gov.cn/jl/zxzx_43777/201809/t20180905_12055919.htm","2018-09-01","Compatriots",7,7,2018,9,1
"236",236,"台胞到大陆幼儿园及小学就读的手续应该如何办理?_中共中央台湾...","http://www.gwytb.gov.cn/jx/re2/lai2/201312/t20131230_5446744.htm","2020-11-19","Compatriots",6,6,2020,11,19
"237",237,"两小时寻回行李 台胞感受杭州“速度”与“温度”_中共中央台湾...","http://www.gwytb.gov.cn/service/gxtbsh/201801/t20180104_11887171.htm","2020-11-19","Compatriots",6,6,2020,11,19
"238",238,"河南首日受理30张港澳台居民居住证 台胞赞誉有加_中共中央台湾...","http://www.gwytb.gov.cn/jl/zxzx_43777/201809/t20180905_12055930.htm","2018-09-04","Compatriots",3,3,2018,9,4
"239",239,"正在台湾高校就读的台胞,能否到大陆普通高校申请插班试读?_中共...","http://www.gwytb.gov.cn/jx/re2/lai2/201312/t20131230_5446795.htm","2020-11-19","Compatriots",6,6,2020,11,19
"240",240,"国台办:积极采取措施为台胞返乡过年提供便利_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201901/t20190130_12136867.htm","2019-01-30","Compatriots",1,2,2019,1,30
"241",241,"山东省台胞权益保护法律顾问签约仪式在济南举行_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201710/t20171023_11855570.htm","2017-10-23","Compatriots",1,1,2017,10,23
"242",242,"江苏省泰州市海陵区台办主动为台胞解决实际困难_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201308/t20130813_4602930.htm","2020-11-19","Compatriots",6,6,2020,11,19
"243",243,"南京市台办举办台胞证“延伸服务”座谈会_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201804/t20180419_11945677.htm","2020-11-19","Compatriots",6,6,2020,11,19
"244",244,"服務台胞在行動_中共中央臺灣工作辦公室、國務院臺灣事務辦公室","http://big5.gwytb.gov.cn/service/index_2.htm","2020-11-18","Compatriots",3,4,2020,11,18
"245",245,"台胞能否报考公费研究生?_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/jx/re2/lai2/201312/t20131230_5446824.htm","2020-11-18","Compatriots",3,4,2020,11,18
"246",246,"广西钦州市台办开门征求台商台胞意见_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/fuwu/201403/t20140314_5829466.htm","2014-03-14","Compatriots",1,1,2014,3,14
"247",247,"台胞突发癫痫 闽医院全力救助获赠锦旗_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/zn/doctor/201401/t20140113_5518526.htm","2020-11-18","Compatriots",3,4,2020,11,18
"248",248,"南京发布“惠台75条”促台胞享同等待遇_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jl/zxzx_43777/201808/t20180813_12046535.htm","2018-08-08","Compatriots",2,2,2018,8,8
"249",249,"凉山州台办召开2017年台胞台属新春茶话会_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/local/201701/t20170126_11688670.htm","2017-01-26","Compatriots",3,3,2017,1,26
"250",250,"面向台胞开放的专业资格考试_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/zn/jy/201211/t20121119_3378876.htm","2020-11-17","Compatriots",5,5,2020,11,17
"251",251,"遂宁市市长与台胞台属企业家座谈_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/201504/t20150401_9468821.htm","2015-04-01","Compatriots",1,1,2015,4,1
"252",252,"台胞如何来祖国大陆申请专利?_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/zzks/zcfg_43779/l_43892/201710/t20171019_11854362.htm","2020-11-17","Compatriots",5,5,2020,11,17
"253",253,"中台办、国台办要求切实加强台胞权益保护_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/newsb/201304/t20130409_4057124.htm","2013-04-09","Compatriots",1,1,2013,4,9
"254",254,"大连市台办协助台胞办理公证事宜_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/201703/t20170331_11736303.htm","2020-11-17","Compatriots",5,5,2020,11,17
"255",255,"沈阳市台办和公安部门帮助台胞罗振禄顺利返台_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201705/t20170517_11782848.htm","2020-11-17","Compatriots",5,5,2020,11,17
"256",256,"扬州市积极完善台胞权益保障机制_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/tbqy/201603/t20160310_11406817.htm","2020-11-17","Compatriots",5,5,2020,11,17
"257",257,"广州出台60条惠及台胞措施 共享改革开放红利_中共中央台湾工作...","http://www.gwytb.gov.cn/31t/bjzl/201807/t20180731_12042145.html","2018-07-31","Compatriots",2,2,2018,7,31
"258",258,"“十一五”期间台胞权益保护工作综述_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/tbqy/zongshu/201211/t20121105_3350380.htm","2011-01-06","Compatriots",1,1,2011,1,6
"259",259,"台资高地江苏昆山深入推进“31条惠及台胞措施”_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201804/t20180416_11944173.htm","2018-04-16","Compatriots",3,3,2018,4,16
"260",260,"济南市公安局出台服务台商台胞十项措施_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wl/zxzx_43786/201412/t20141216_8377073.htm","2014-04-17","Compatriots",1,1,2014,4,17
"261",261,"泰州市设立车站机场台胞服务处 优化台胞出行环境_中共中央台湾...","http://www.gwytb.gov.cn/service/201807/t20180718_12036901.htm","2020-12-09","Compatriots",6,8,2020,12,9
"262",262,"平潭“60后”台胞为两岸青年孵化创业梦_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jy/zxzx/201808/t20180829_12052790.htm","2018-08-21","Compatriots",2,2,2018,8,21
"263",263,"原产地证书核发情况体现对台胞极大利好_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/lhjl/ecfa/201211/t20121112_3361406.htm","2011-01-12","Compatriots",1,1,2011,1,12
"264",264,"平潭先行先试 台胞在大陆首获个税财政补贴_中共中央台湾工作办公...","http://www.gwytb.gov.cn/zn/jy/201304/t20130419_4101080.htm","2013-04-17","Compatriots",2,2,2013,4,17
"265",265,"福州自贸片区:持续优化台胞台企金融服务_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201708/t20170822_11833854.htm","2017-08-22","Compatriots",1,1,2017,8,22
"266",266,"澧县台办建立微信群开通服务台胞直通车_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201609/t20160905_11559723.htm","2016-09-05","Compatriots",1,1,2016,9,5
"267",267,"大陆方面积极处理福建龙岩台胞旅游交通事故_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wyly/201608/t20160813_11536773.htm","2016-08-13","Compatriots",1,1,2016,8,13
"268",268,"山东省台胞投资保护立法交流团访台听取台胞意见建议_中共中央台湾...","http://www.gwytb.gov.cn/fuwu/201410/t20141015_7653464.htm","2020-11-13","Compatriots",15,26,2020,11,13
"269",269,"十堰市竹山县台办畅通台胞台属诉求“绿色通道”_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201505/t20150506_9742012.htm","2015-05-06","Compatriots",1,1,2015,5,6
"270",270,"南宁台商台胞热议习近平总书记到广西考察_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/local/201704/t20170426_11754016.htm","2017-04-25","Compatriots",1,1,2017,4,25
"271",271,"福建省19个火车站开通台胞自助购取票服务_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jl/zxzx_43777/201707/t20170727_11824564.htm","2017-07-27","Compatriots",1,1,2017,7,27
"272",272,"时评:民进党当局莫再阻挡台胞返乡之路_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wyly/202002/t20200220_12245187.htm","2020-02-20","Compatriots",2,2,2020,2,20
"273",273,"国台办副主任叶克冬在浙走访慰问台胞_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/newsb/201502/t20150215_9049311.htm","2015-02-15","Compatriots",2,2,2015,2,15
"274",274,"厦门落实“60条惠及台胞措施”获成效_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jj/zxzx_43783/201806/t20180608_11963382.htm","2018-06-06","Compatriots",2,2,2018,6,6
"275",275,"全国人大常委会执法检查组认为保护台胞投资权益积极有效_中共中央...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1724039.htm","2020-11-13","Compatriots",15,26,2020,11,13
"276",276,"成都市武侯区服务台胞三措施_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/service/201504/t20150408_9524741.htm","2020-11-13","Compatriots",15,26,2020,11,13
"277",277,"福建省积极服务台胞来闽就业创业_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/201707/t20170727_11824498.htm","2020-11-13","Compatriots",15,26,2020,11,13
"278",278,"时疫无情,同胞有爱——大陆各地政府与各界关心照顾台胞","http://www.gwytb.gov.cn/wyly/202002/t20200218_12244404.htm","2020-02-06","Compatriots",2,3,2020,2,6
"279",279,"在厦台胞点赞“31条措施”落实:“没想到那么快那么细”_中共中央...","http://www.gwytb.gov.cn/jj/zxzx_43783/201804/t20180413_11942984.htm","2018-04-13","Compatriots",3,4,2018,4,13
"280",280,"毕节市制定惠台旅游政策:台胞将享受当地国有景区免门票优惠_中共...","http://www.gwytb.gov.cn/service/gxtbsh/201711/t20171127_11872434.htm","2020-11-13","Compatriots",15,26,2020,11,13
"281",281,"梁国扬:与时俱进沟通两岸 脚踏实地服务台胞_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wyly/201101/t20110124_1731282.htm","2009-01-15","Compatriots",1,1,2009,1,15
"282",282,"仪征市车管所方便台胞办理车驾管业务_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201404/t20140410_5993796.htm","2020-11-13","Compatriots",15,26,2020,11,13
"283",283,"晋江市为年满60岁台胞免费体检_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/201605/t20160512_11455860.htm","2020-11-13","Compatriots",15,26,2020,11,13
"284",284,"江苏常州首批百位台商台胞喜领医疗保健绿卡_中共中央台湾工作办公...","http://www.gwytb.gov.cn/local/201108/t20110818_1967933.htm","2020-11-13","Compatriots",15,26,2020,11,13
"285",285,"福建开展《台投法》执法检查落实保障台胞权益_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201405/t20140530_6244322.htm","2014-05-30","Compatriots",2,2,2014,5,30
"286",286,"山东省直有关部门对台经济和台胞权益保障工作联系会在济南召开...","http://www.gwytb.gov.cn/service/201301/t20130129_3684202.htm","2013-01-29","Compatriots",1,1,2013,1,29
"287",287,"仪征市台商台胞台属高度关注全国“两会”_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/local/201603/t20160322_11415741.htm","2016-03-22","Compatriots",1,1,2016,3,22
"288",288,"镇江召开台胞投资权益保障协调委员会联席会议_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201309/t20130916_4886934.htm","2013-09-16","Compatriots",1,1,2013,9,16
"289",289,"福建首度将台胞纳入劳模评选表彰_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/jy/zxzx/201804/t20180428_11949824.htm","2018-04-28","Compatriots",1,1,2018,4,28
"290",290,"广西召开台商台胞台属台生迎春座谈会_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/fuwu/201601/t20160106_11359458.htm","2016-01-06","Compatriots",2,2,2016,1,6
"291",291,"四川省召开贯彻落实“31条惠及台胞措施”座谈会_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201806/t20180627_11969417.htm","2018-06-27","Compatriots",2,3,2018,6,27
"292",292,"广西南宁市各方救助八旬台胞温情满满_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201506/t20150615_10040452.htm","2020-11-13","Compatriots",15,26,2020,11,13
"293",293,"山东省召开省直部门台胞权益保护工作研商会_中共中央台湾工作办公...","http://www.gwytb.gov.cn/fuwu/201402/t20140225_5730290.htm","2014-02-25","Compatriots",1,1,2014,2,25
"294",294,"国台办:各地各部门继续推进落实“31条惠及台胞措施”_中共中央...","http://www.gwytb.gov.cn/wyly/201809/t20180912_12058924.htm","2018-09-12","Compatriots",5,8,2018,9,12
"295",295,"枣庄市公安局出台服务台商台胞十项措施_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201501/t20150129_8869979.htm","2020-11-13","Compatriots",15,26,2020,11,13
"296",296,"央视报道安徽省台胞权益保护工作成功案例和经验_中共中央台湾工作...","http://www.gwytb.gov.cn/fuwu/201511/t20151117_11048306.htm","2015-11-16","Compatriots",1,1,2015,11,16
"297",297,"2013“跨越海峡 相约中原”台胞青年夏令营河南安阳开营_中共中央...","http://www.gwytb.gov.cn/local/201307/t20130710_4431709.htm","2013-07-10","Compatriots",3,3,2013,7,10
"298",298,"海南省台办深入基层慰问台胞台企_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/local/201302/t20130207_3761563.htm","2020-11-13","Compatriots",15,26,2020,11,13
"299",299,"死神手里夺生命——解放军第101医院抢救危重台胞生命纪实_中共...","http://www.gwytb.gov.cn/service/201405/t20140523_6201254.htm","2014-05-23","Compatriots",1,1,2014,5,23
"300",300,"台胞回乡探亲遗失包裹 民警细心排查帮其找回_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201607/t20160729_11523053.htm","2016-07-29","Compatriots",1,1,2016,7,29
"301",301,"山东省召开全省对台经济和台胞权益保护工作会议_中共中央台湾工作...","http://www.gwytb.gov.cn/fuwu/201604/t20160425_11442595.htm","2016-04-25","Compatriots",2,2,2016,4,25
"302",302,"上海拟地方立法为台胞提供社会公共服务领域“市民待遇”_中共中央...","http://www.gwytb.gov.cn/service/201508/t20150803_10386746.htm","2015-08-03","Compatriots",1,1,2015,8,3
"303",303,"湖南常德台办助台胞找到失散65年亲人_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201303/t20130320_3927434.htm","2013-03-20","Compatriots",1,1,2013,3,20
"304",304,"南宁市台胞抢办首批卡式台胞证_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/201509/t20150930_10768767.htm","2015-09-30","Compatriots",2,3,2015,9,30
"305",305,"台胞林猛雄笑了_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/service/201312/t20131212_5352916.htm","2013-12-12","Compatriots",1,1,2013,12,12
"306",306,"甘肃保障台胞权益启动联席会议制度_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201311/t20131126_5267802.htm","2013-11-26","Compatriots",1,1,2013,11,26
"307",307,"劳动人事部、财政部、公安部、中国银行关于台胞职工出境探亲待遇...","http://www.gwytb.gov.cn/gjstfg/201101/t20110104_1673086.htm","2020-11-13","Compatriots",15,26,2020,11,13
"308",308,"39位台胞南麂岛“寻根”_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/local/201307/t20130701_4393441.htm","2020-11-13","Compatriots",15,26,2020,11,13
"309",309,"国台办:我驻墨使馆积极救援地震中受困台胞_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wyly/201709/t20170927_11847599.htm","2017-09-27","Compatriots",1,3,2017,9,27
"310",310,"萍乡市委台办春节走访慰问台胞台属_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201701/t20170120_11683953.htm","2020-11-13","Compatriots",15,26,2020,11,13
"311",311,"镇江首张卡式台胞证签发_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/service/201510/t20151009_10802508.htm","2015-10-09","Compatriots",1,1,2015,10,9
"312",312,"武汉台办:台卫生机构应对台胞确诊病例相关情况作出说明_中共中央...","http://www.gwytb.gov.cn/wyly/202002/t20200208_12240394.htm","2020-02-08","Compatriots",2,2,2020,2,8
"313",313,"洛阳市台联举办第十届台胞台属夏令营活动_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/lajlwl/trueth/201308/t20130802_4538700.htm","2020-11-13","Compatriots",15,26,2020,11,13
"314",314,"台胞可在豫申请个体户_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/service/201512/t20151229_11337830.htm","2015-12-29","Compatriots",1,1,2015,12,29
"315",315,"漳台族谱对接 圆台胞“寻根梦”_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/lajlwl/trueth/201301/t20130106_3516807.htm","2013-01-06","Compatriots",1,1,2013,1,6
"316",316,"高法相关负责人:依法、公正、高效保护台胞合法权益_中共中央台湾...","http://www.gwytb.gov.cn/zlzx/zchb/201801/t20180103_11886408.htm","2008-05-07","Compatriots",1,1,2008,5,7
"317",317,"南宁市工商局开辟绿色通道办理台胞个体工商户登记_中共中央台湾...","http://www.gwytb.gov.cn/service/201604/t20160422_11441115.htm","2016-04-22","Compatriots",1,1,2016,4,22
"318",318,"2012年来鲁台胞累计超260万人次_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/zn/crj/201301/t20130124_3581867.htm","2013-01-23","Compatriots",1,1,2013,1,23
"319",319,"部分在鄂台胞将乘包机返回台湾_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/wyly/202002/t20200207_12240003.htm","2020-02-03","Compatriots",1,1,2020,2,3
"320",320,"广州就推进落实“31条惠及台胞措施”开展调研_中共中央台湾工作...","http://www.gwytb.gov.cn/service/fwtqfa/201804/t20180426_11948676.htm","2020-11-12","Compatriots",30,39,2020,11,12
"321",321,"海口发放首本5年有效台胞证 在琼台胞不出省便可换证_中共中央台湾...","http://www.gwytb.gov.cn/service/201307/t20130723_4488363.htm","2020-11-12","Compatriots",30,39,2020,11,12
"322",322,"“跨越海峡·感知中原”——2015台胞青年中原行夏令营活动综述...","http://www.gwytb.gov.cn/local/201507/t20150722_10304913.htm","2015-07-22","Compatriots",5,5,2015,7,22
"323",323,"江西铁路民警帮助八旬台胞寻亲_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/201503/t20150323_9375206.htm","2020-11-12","Compatriots",30,39,2020,11,12
"324",324,"大陆首家台胞社会法庭在河南成立_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/local/201112/t20111223_2224104.htm","2011-12-22","Compatriots",1,1,2011,12,22
"325",325,"台胞青年千人夏令营江西分营在南昌开营_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/local/201607/t20160714_11508578.htm","2016-07-14","Compatriots",2,2,2016,7,14
"326",326,"山东省台胞权益保障交流团赴台考察取得积极成果_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201612/t20161220_11658198.htm","2020-11-12","Compatriots",30,39,2020,11,12
"327",327,"全国台联2013年台胞青年千人夏令营成都分营开营_中共中央台湾工作...","http://www.gwytb.gov.cn/lajlwl/jykjjl/201307/t20130708_4420954.htm","2013-07-08","Compatriots",1,1,2013,7,8
"328",328,"四川召开全省对台经济和台胞权益保护工作会议_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201606/t20160617_11485651.htm","2016-06-17","Compatriots",1,1,2016,6,17
"329",329,"北京市台联2016年台胞青年冬令营正式开营_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/lajlwl/201601/t20160129_11378509.htm","2016-01-28","Compatriots",3,3,2016,1,28
"330",330,"全国台联会长梁国扬:为台胞问政谋福我们义不容辞_中共中央台湾...","http://www.gwytb.gov.cn/wyly/201101/t20110124_1731041.htm","2008-03-20","Compatriots",1,1,2008,3,20
"331",331,"江苏首颁保护和促进台胞投资条例 台企可享受各项扶持政策_中共...","http://www.gwytb.gov.cn/service/201212/t20121228_3500312.htm","2012-12-28","Compatriots",1,1,2012,12,28
"332",332,"怀化市鹤城区台办服务台胞台属落实到“最后一公里”_中共中央台湾...","http://www.gwytb.gov.cn/service/201410/t20141015_7658797.htm","2020-11-12","Compatriots",30,39,2020,11,12
"333",333,"台胞将成为福建离境退税业务最大受益者_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201601/t20160128_11376472.htm","2020-11-12","Compatriots",30,39,2020,11,12
"334",334,"台胞青年千人夏令营湖南分营在郴州苏仙区开营_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201507/t20150710_10234424.htm","2015-07-10","Compatriots",1,1,2015,7,10
"335",335,"湖北省台办:民进党当局应正视在湖北台胞呼吁,尽快同意东航运送...","http://www.gwytb.gov.cn/wyly/202002/t20200220_12245621.htm","2020-02-20","Compatriots",2,2,2020,2,20
"336",336,"2015年台胞青年千人夏令营贵州分营活动拉开序幕_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201507/t20150722_10304811.htm","2015-07-22","Compatriots",5,5,2015,7,22
"337",337,"安徽首部保护台胞投资条例通过 2016年起实施_中共中央台湾工作...","http://www.gwytb.gov.cn/tbqy/zongshu/201806/t20180622_11967736.htm","2015-11-20","Compatriots",1,1,2015,11,20
"338",338,"泰安市台办帮助台胞骨灰返乡_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/service/201612/t20161228_11665322.htm","2020-11-12","Compatriots",30,39,2020,11,12
"339",339,"鹰潭市委台办春节前夕走访慰问台胞台属_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201701/t20170125_11687568.htm","2020-11-12","Compatriots",30,39,2020,11,12
"340",340,"湘乡市完善维权联席会议机制着力维护台胞权益_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201408/t20140825_7088125.htm","2020-11-12","Compatriots",30,39,2020,11,12
"341",341,"海协会与有关部门助长白山车祸伤亡台胞家属处理善后 _中共中央...","http://www.gwytb.gov.cn/tufashijian/201101/t20110105_1676257.htm","2020-11-12","Compatriots",30,39,2020,11,12
"342",342,"厦门市思明区举办台胞驿站5·25周年庆暨台味地图启动仪式_中共...","http://www.gwytb.gov.cn/service/201605/t20160527_11468802.htm","2016-05-27","Compatriots",1,1,2016,5,27
"343",343,"常德:返乡台胞共话常台发展_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/local/201704/t20170410_11741514.htm","2020-11-12","Compatriots",30,39,2020,11,12
"344",344,"山东省台办召开服务台胞台企抓落实工作研商会_中共中央台湾工作...","http://www.gwytb.gov.cn/service/cxggjc/201509/t20150908_10627929.htm","2015-09-08","Compatriots",1,1,2015,9,8
"345",345,"南宁市台商点赞大陆各部门出台的便利台胞政策措施_中共中央台湾...","http://www.gwytb.gov.cn/service/201705/t20170522_11786213.htm","2017-05-22","Compatriots",2,2,2017,5,22
"346",346,"全国台联台胞青年千人夏令营湖北分营到枝江参观考察_中共中央台湾...","http://www.gwytb.gov.cn/local/201307/t20130711_4439696.htm","2013-07-11","Compatriots",1,1,2013,7,11
"347",347,"广西南宁玉林等地开展新春走访台企慰问台胞活动_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201401/t20140129_5610525.htm","2014-01-29","Compatriots",1,1,2014,1,29
"348",348,"桂林医院开通生命绿色通道成功救治突发心梗台胞_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201602/t20160229_11398021.htm","2020-11-12","Compatriots",30,39,2020,11,12
"349",349,"广州越秀区台办积极为台胞子女入学提供服务_中共中央台湾工作办公...","http://www.gwytb.gov.cn/service/201805/t20180521_11956694.htm","2020-11-12","Compatriots",30,39,2020,11,12
"350",350,"上半年福建接待台胞近60万人次 同比增逾两成(2011.07.21)_中共...","http://www.gwytb.gov.cn/zlzx/tjsj/201107/t20110722_1931958.htm","2011-07-21","Compatriots",1,1,2011,7,21
"351",351,"杭州“市民之家”熱心服務台胞獲贈錦旗_中共中央臺灣工作辦公室...","http://big5.gwytb.gov.cn/service/201808/t20180827_12051806.htm","2020-11-12","Compatriots",30,39,2020,11,12
"352",352,"在京台胞举行新春同乐会_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/wyly/201101/t20110124_1730087.htm","2004-01-08","Compatriots",1,1,2004,1,8
"353",353,"邵阳市各地台办春节前慰问困难台胞台属_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201701/t20170126_11688678.htm","2020-11-12","Compatriots",30,39,2020,11,12
"354",354,"公安部决定进一步方便台胞在大陆投资放宽限制简化手续_中共中央...","http://www.gwytb.gov.cn/zlzx/zchb/201101/t20110123_1725818.htm","1998-10-28","Compatriots",1,1,1998,10,28
